periodo,fecha_mes,concepto,energia_mwh,energia_gwh
201705,2017-05-01,PRODUCCION TERMICA,55300.974414746015,55.300974414746015
201705,2017-05-01,VENTA DE ENERGIA,119753.71737636812,119.75371737636812
201705,2017-05-01,VENTA EN COES,53403.5680263681,53.4035680263681
201706,2017-06-01,COMPRA DE ENERGIA,0.0,0.0
201706,2017-06-01,CONSUMOS AUX.,883.0609241218397,0.8830609241218397
201706,2017-06-01,CONTRATOS,62814.706139999995,62.81470613999999
201706,2017-06-01,ENERGIA DISPONIBLE,118709.84757580158,118.70984757580159
201706,2017-06-01,PERDIDAS,1525.2077408526384,1.5252077408526383
201706,2017-06-01,PRODUCCION HIDRAULICA,64853.16424927073,64.85316424927073
201706,2017-06-01,PRODUCCION TERMICA,56264.951991505324,56.26495199150533
201706,2017-06-01,VENTA DE ENERGIA,118709.84757580158,118.70984757580159
201706,2017-06-01,VENTA EN COES,55895.1414358016,55.8951414358016
201707,2017-07-01,COMPRA DE ENERGIA,0.0,0.0
201707,2017-07-01,CONSUMOS AUX.,989.6058317232869,0.9896058317232869
201707,2017-07-01,CONTRATOS,63450.06134,63.45006134
201707,2017-07-01,ENERGIA DISPONIBLE,130591.7109573975,130.5917109573975
201707,2017-07-01,PERDIDAS,1596.7170172958286,1.5967170172958285
201707,2017-07-01,PRODUCCION HIDRAULICA,72398.66250361902,72.39866250361902
201707,2017-07-01,PRODUCCION TERMICA,60779.371302797575,60.77937130279758
201707,2017-07-01,VENTA DE ENERGIA,130591.7109573975,130.5917109573975
201707,2017-07-01,VENTA EN COES,67141.6496173975,67.1416496173975
201708,2017-08-01,COMPRA DE ENERGIA,0.0,0.0
201708,2017-08-01,CONSUMOS AUX.,1090.7571940586708,1.0907571940586709
201708,2017-08-01,CONTRATOS,64529.37512000001,64.52937512000001
201708,2017-08-01,ENERGIA DISPONIBLE,130050.8219038381,130.0508219038381
201708,2017-08-01,PERDIDAS,1477.370722413907,1.477370722413907
201708,2017-08-01,PRODUCCION HIDRAULICA,72470.24342262774,72.47024342262775
201708,2017-08-01,PRODUCCION TERMICA,60148.706397682945,60.14870639768294
201708,2017-08-01,VENTA DE ENERGIA,130050.8219038381,130.0508219038381
201708,2017-08-01,VENTA EN COES,65521.4467838381,65.5214467838381
201709,2017-09-01,COMPRA DE ENERGIA,0.0,0.0
201709,2017-09-01,CONSUMOS AUX.,850.0679129705022,0.8500679129705022
201709,2017-09-01,CONTRATOS,63034.09342,63.03409342
201709,2017-09-01,ENERGIA DISPONIBLE,117921.01938710979,117.9210193871098
201709,2017-09-01,PERDIDAS,1614.1551405001665,1.6141551405001664
201709,2017-09-01,PRODUCCION HIDRAULICA,75486.53944423138,75.48653944423138
201709,2017-09-01,PRODUCCION TERMICA,44898.70299634908,44.89870299634908
201709,2017-09-01,VENTA DE ENERGIA,117921.01938710979,117.9210193871098
201709,2017-09-01,VENTA EN COES,54886.9259671098,54.886925967109796
201710,2017-10-01,COMPRA DE ENERGIA,0.0,0.0
201710,2017-10-01,CONSUMOS AUX.,655.5174091830373,0.6555174091830374
201710,2017-10-01,CONTRATOS,63773.63086999999,63.77363086999999
