periodo,anio,mes,cliente,precio_medio_soles_mwh
202508,2025,8,LUZ DEL SUR S.A.A.,365.6060211754718
202508,2025,8,MERCADO SPOT,144.64935974545935
202508,2025,8,MICHELL Y CIA S.A.,369.00787847785824
202508,2025,8,NEGOCIACIONES E INVERSIONES DORAL S.A.C.,304.1454161592369
202508,2025,8,OXYMAN COMERCIAL S.A.C.,
202508,2025,8,PLUZ ENERGÍA PERÚ S.A.A.,332.6244533314631
202508,2025,8,SOCIEDAD ELECTRICA DEL SUR OESTE S A,406.0721751372455
202508,2025,8,TERMINAL INTERNACIONAL DEL SUR S.A.,263.283885223283
202508,2025,8,UNIVERSIDAD CATOLICA SAN PABLO,447.8957225879307
202509,2025,9,AGRÍCOLA PAMPA BAJA S.A.C.,344.3937709945652
202509,2025,9,CLIENTE LIBRE,330.06612922147224
202509,2025,9,CONSORCIO ELECTRICO DE VILLACURI SAC,217.53827650065375
202509,2025,9,CR_ LICITACIONES,378.771825244693
202509,2025,9,CR_BILATERALES,294.2938002503515
202509,2025,9,ELECTRO PUNO S.A.A.,278.8967744048951
202509,2025,9,ELECTRO SUR ESTE S.A.A.,422.1397231214262
202509,2025,9,ELECTROSUR S.A.,403.3056679602882
202509,2025,9,EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,
202509,2025,9,FABRICA DE CHOCOLATES LA IBERICA S.A.,311.26675525344797
202509,2025,9,IINCA TOPS S.A.,349.66120879560356
202509,2025,9,INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,363.9741250724001
202509,2025,9,LUZ DEL SUR S.A.A.,370.70435512997017
202509,2025,9,MERCADO SPOT,151.90038292366
202509,2025,9,MICHELL Y CIA S.A.,352.1272086216265
202509,2025,9,NEGOCIACIONES E INVERSIONES DORAL S.A.C.,298.16727067590733
202509,2025,9,OXYMAN COMERCIAL S.A.C.,
202509,2025,9,PLUZ ENERGÍA PERÚ S.A.A.,335.10974040209857
202509,2025,9,SOCIEDAD ELECTRICA DEL SUR OESTE S A,411.1646037658422
202509,2025,9,TERMINAL INTERNACIONAL DEL SUR S.A.,259.2416366828353
202509,2025,9,UNIVERSIDAD CATOLICA SAN PABLO,426.3900680318312
202510,2025,10,AGRÍCOLA PAMPA BAJA S.A.C.,348.71130158343544
202510,2025,10,CLIENTE LIBRE,323.6177231650746
202510,2025,10,CONSORCIO ELECTRICO DE VILLACURI SAC,213.19621688008863
202510,2025,10,CR_ LICITACIONES,364.28727902693737
202510,2025,10,CR_BILATERALES,276.6868932766076
202510,2025,10,ELECTRO PUNO S.A.A.,259.738723222627
202510,2025,10,ELECTRO SUR ESTE S.A.A.,397.1241973633361
202510,2025,10,ELECTROSUR S.A.,385.0772261588878
202510,2025,10,EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,
202510,2025,10,FABRICA DE CHOCOLATES LA IBERICA S.A.,278.75842439186533
202510,2025,10,IINCA TOPS S.A.,349.35209315668567
202510,2025,10,INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,345.39821955757935
202510,2025,10,LUZ DEL SUR S.A.A.,355.65598172359404
202510,2025,10,MERCADO SPOT,129.0286542674683
202510,2025,10,MICHELL Y CIA S.A.,345.10304750431214
202510,2025,10,NEGOCIACIONES E INVERSIONES DORAL S.A.C.,288.65739697078885
202510,2025,10,OXYMAN COMERCIAL S.A.C.,
202510,2025,10,PLUZ ENERGÍA PERÚ S.A.A.,319.19120980920036
202510,2025,10,SOCIEDAD ELECTRICA DEL SUR OESTE S A,395.5509638104741
202510,2025,10,TERMINAL INTERNACIONAL DEL SUR S.A.,259.9008293965017
202510,2025,10,UNIVERSIDAD CATOLICA SAN PABLO,401.93199307588856
202511,2025,11,AGRÍCOLA PAMPA BAJA S.A.C.,348.71130158343544
202511,2025,11,CLIENTE LIBRE,323.6177231650746
202511,2025,11,CONSORCIO ELECTRICO DE VILLACURI SAC,213.19621688008863
202511,2025,11,CR_ LICITACIONES,364.28727902693737
202511,2025,11,CR_BILATERALES,276.6868932766076
202511,2025,11,ELECTRO PUNO S.A.A.,259.738723222627
202511,2025,11,ELECTRO SUR ESTE S.A.A.,397.1241973633361
202511,2025,11,ELECTROSUR S.A.,385.0772261588878
202511,2025,11,EMPRESA DE GENERACION ELECTRICA DEL SUR S.A.,
202511,2025,11,FABRICA DE CHOCOLATES LA IBERICA S.A.,278.75842439186533
202511,2025,11,IINCA TOPS S.A.,349.35209315668567
202511,2025,11,INCALPACA TEXTILES PERUANOS DE EXPORT S.A.,345.39821955757935
202511,2025,11,LUZ DEL SUR S.A.A.,355.65598172359404
202511,2025,11,MERCADO SPOT,129.0286542674683
202511,2025,11,MICHELL Y CIA S.A.,345.10304750431214
202511,2025,11,NEGOCIACIONES E INVERSIONES DORAL S.A.C.,288.65739697078885
202511,2025,11,OXYMAN COMERCIAL S.A.C.,
202511,2025,11,PLUZ ENERGÍA PERÚ S.A.A.,319.19120980920036
202511,2025,11,SOCIEDAD ELECTRICA DEL SUR OESTE S A,395.5509638104741
202511,2025,11,TERMINAL INTERNACIONAL DEL SUR S.A.,259.9008293965017
202511,2025,11,UNIVERSIDAD CATOLICA SAN PABLO,401.93199307588856
202512,2025,12,CLIENTE LIBRE,
202512,2025,12,CR_ LICITACIONES,
202512,2025,12,CR_BILATERALES,
202512,2025,12,MERCADO SPOT,
